| Rank | Team Name            | Wins | Draws | Losses | Goals Scored | Goals Conceded | Points | Goal Difference |
| 344  | Team 402             |   15 |    14 |      4 |           51 |             42 |     59 |               9 |
| 345  | Team 650             |   16 |    11 |      6 |           45 |             37 |     59 |               8 |
| 346  | Team 129             |   16 |    11 |      6 |           46 |             40 |     59 |               6 |
| 347  | Team 684             |   17 |     8 |      8 |           41 |             38 |     59 |               3 |
| 348  | Team 364             |   16 |    11 |      6 |           42 |             46 |     59 |              -4 |
| 349  | Team 809             |   17 |     8 |      8 |           49 |             54 |     59 |              -5 |
| 350  | Team 489             |   20 |    -1 |     14 |           40 |             47 |     59 |              -7 |
| 351  | Team 590             |   18 |     5 |     10 |           31 |             39 |     59 |              -8 |
| 352  | Team 767             |   19 |     2 |     12 |           30 |             39 |     59 |              -9 |
| 353  | Team 879             |   17 |     8 |      8 |           35 |             47 |     59 |             -12 |
| 354  | Team 969             |   17 |     8 |      8 |           46 |             59 |     59 |             -13 |
| 355  | Team 774             |   18 |     5 |     10 |           51 |             66 |     59 |             -15 |
| 356  | Team 521             |   18 |     5 |     10 |           47 |             62 |     59 |             -15 |
| 357  | Team 537             |   18 |     5 |     10 |           34 |             57 |     59 |             -23 |
| 358  | Team 515             |   18 |     5 |     10 |           31 |             60 |     59 |             -29 |
| 359  | Team 387             |   18 |     5 |     10 |           30 |             74 |     59 |             -44 |
| 360  | Team 287             |   18 |     4 |     11 |           59 |             20 |     58 |              39 |
| 361  | Team 118             |   17 |     7 |      9 |           52 |             31 |     58 |              21 |
| 362  | Team 410             |   15 |    13 |      5 |           51 |             30 |     58 |              21 |
| 363  | Team 866             |   17 |     7 |      9 |           44 |             28 |     58 |              16 |
| 364  | Team 638             |   21 |    -5 |     17 |           58 |             58 |     58 |               0 |
| 365  | Team 231             |   17 |     7 |      9 |           56 |             56 |     58 |               0 |
| 366  | Team 965             |   18 |     4 |     11 |           44 |             46 |     58 |              -2 |
| 367  | Team 294             |   18 |     4 |     11 |           52 |             55 |     58 |              -3 |
| 368  | Team 443             |   17 |     7 |      9 |           52 |             55 |     58 |              -3 |
| 369  | Team 392             |   17 |     7 |      9 |           37 |             41 |     58 |              -4 |
| 370  | Team 238             |   15 |    13 |      5 |           34 |             38 |     58 |              -4 |
| 371  | Team 923             |   19 |     1 |     13 |           32 |             36 |     58 |              -4 |
| 372  | Team 891             |   16 |    10 |      7 |           31 |             37 |     58 |              -6 |
| 373  | Team 15              |   17 |     7 |      9 |           36 |             44 |     58 |              -8 |
| 374  | Team 707             |   18 |     4 |     11 |           44 |             56 |     58 |             -12 |
| 375  | Team 291             |   17 |     7 |      9 |           38 |             50 |     58 |             -12 |
| 376  | Team 648             |   19 |     1 |     13 |           50 |             63 |     58 |             -13 |
| 377  | Team 44              |   19 |     1 |     13 |           44 |             59 |     58 |             -15 |
| 378  | Team 209             |   18 |     4 |     11 |           31 |             46 |     58 |             -15 |
| 379  | Team 768             |   17 |     7 |      9 |           37 |             54 |     58 |             -17 |
| 380  | Team 966             |   15 |    13 |      5 |           37 |             55 |     58 |             -18 |
| 381  | Team 190             |   20 |    -2 |     15 |           34 |             52 |     58 |             -18 |
| 382  | Team 31              |   18 |     4 |     11 |           37 |             64 |     58 |             -27 |
| 383  | Team 10              |   18 |     3 |     12 |           79 |             25 |     57 |              54 |
| 384  | Team 642             |   16 |     9 |      8 |           57 |             22 |     57 |              35 |
| 385  | Team 963             |   16 |     9 |      8 |           61 |             29 |     57 |              32 |
| 386  | Team 223             |   16 |     9 |      8 |           61 |             35 |     57 |              26 |
| 387  | Team 694             |   17 |     6 |     10 |           39 |             21 |     57 |              18 |
| 388  | Team 992             |   17 |     6 |     10 |           65 |             50 |     57 |              15 |
| 389  | Team 100             |   19 |     0 |     14 |           50 |             35 |     57 |              15 |
| 390  | Team 763             |   18 |     3 |     12 |           44 |             31 |     57 |              13 |
| 391  | Team 784             |   16 |     9 |      8 |           44 |             33 |     57 |              11 |
| 392  | Team 90              |   16 |     9 |      8 |           49 |             39 |     57 |              10 |
| 393  | Team 123             |   19 |     0 |     14 |           56 |             50 |     57 |               6 |
| 394  | Team 869             |   17 |     6 |     10 |           45 |             40 |     57 |               5 |
| 395  | Team 157             |   17 |     6 |     10 |           60 |             58 |     57 |               2 |
| 396  | Team 948             |   17 |     6 |     10 |           30 |             29 |     57 |               1 |
| 397  | Team 962             |   15 |    12 |      6 |           48 |             48 |     57 |               0 |
| 398  | Team 743             |   19 |     0 |     14 |           45 |             45 |     57 |               0 |
| 399  | Team 945             |   15 |    12 |      6 |           49 |             52 |     57 |              -3 |
| 400  | Team 180             |   17 |     6 |     10 |           31 |             34 |     57 |              -3 |
| 401  | Team 303             |   16 |     9 |      8 |           40 |             44 |     57 |              -4 |
| 402  | Team 24              |   18 |     3 |     12 |           30 |             34 |     57 |              -4 |
| 403  | Team 221             |   18 |     3 |     12 |           40 |             45 |     57 |              -5 |
| 404  | Team 887             |   18 |     3 |     12 |           57 |             63 |     57 |              -6 |
| 405  | Team 286             |   16 |     9 |      8 |           34 |             40 |     57 |              -6 |
| 406  | Team 236             |   15 |    12 |      6 |           48 |             55 |     57 |              -7 |
| 407  | Team 899             |   18 |     3 |     12 |           51 |             59 |     57 |              -8 |
| 408  | Team 775             |   17 |     6 |     10 |           37 |             48 |     57 |             -11 |
| 409  | Team 228             |   15 |    12 |      6 |           30 |             47 |     57 |             -17 |
| 410  | Team 835             |   17 |     6 |     10 |           41 |             59 |     57 |             -18 |
| 411  | Team 625             |   17 |     6 |     10 |           35 |             66 |     57 |             -31 |
| 412  | Team 818             |   16 |     9 |      8 |           32 |             69 |     57 |             -37 |
| 413  | Team 987             |   19 |     0 |     14 |           35 |             80 |     57 |             -45 |
| 414  | Team 686             |   16 |     8 |      9 |           69 |             36 |     56 |              33 |
| 415  | Team 697             |   15 |    11 |      7 |           55 |             24 |     56 |              31 |
| 416  | Team 417             |   14 |    14 |      5 |           56 |             26 |     56 |              30 |
| 417  | Team 926             |   17 |     5 |     11 |           44 |             20 |     56 |              24 |
| 418  | Team 296             |   15 |    11 |      7 |           54 |             31 |     56 |              23 |
| 419  | Team 513             |   17 |     5 |     11 |           61 |             41 |     56 |              20 |
| 420  | Team 239             |   15 |    11 |      7 |           53 |             33 |     56 |              20 |
| 421  | Team 197             |   16 |     8 |      9 |           50 |             31 |     56 |              19 |
| 422  | Team 278             |   16 |     8 |      9 |           44 |             25 |     56 |              19 |
| 423  | Team 881             |   17 |     5 |     11 |           47 |             30 |     56 |              17 |
| 424  | Team 760             |   17 |     5 |     11 |           44 |             29 |     56 |              15 |
| 425  | Team 261             |   19 |    -1 |     15 |           58 |             45 |     56 |              13 |
| 426  | Team 906             |   17 |     5 |     11 |           53 |             41 |     56 |              12 |
| 427  | Team 101             |   17 |     5 |     11 |           41 |             29 |     56 |              12 |
| 428  | Team 679             |   17 |     5 |     11 |           45 |             35 |     56 |              10 |
| 429  | Team 482             |   15 |    11 |      7 |           38 |             32 |     56 |               6 |
| 430  | Team 495             |   18 |     2 |     13 |           52 |             49 |     56 |               3 |
| 431  | Team 151             |   17 |     5 |     11 |           52 |             51 |     56 |               1 |
| 432  | Team 791             |   15 |    11 |      7 |           49 |             48 |     56 |               1 |
| 433  | Team 108             |   16 |     8 |      9 |           36 |             35 |     56 |               1 |
| 434  | Team 917             |   18 |     2 |     13 |           30 |             29 |     56 |               1 |
| 435  | Team 161             |   17 |     5 |     11 |           52 |             52 |     56 |               0 |
| 436  | Team 815             |   17 |     5 |     11 |           46 |             49 |     56 |              -3 |
| 437  | Team 672             |   13 |    17 |      3 |           48 |             52 |     56 |              -4 |
| 438  | Team 390             |   16 |     8 |      9 |           36 |             40 |     56 |              -4 |
| 439  | Team 889             |   15 |    11 |      7 |           30 |             34 |     56 |              -4 |
| 440  | Team 836             |   15 |    11 |      7 |           45 |             54 |     56 |              -9 |
| 441  | Team 727             |   16 |     8 |      9 |           31 |             40 |     56 |              -9 |
| 442  | Team 116             |   18 |     2 |     13 |           43 |             55 |     56 |             -12 |
| 443  | Team 26              |   15 |    11 |      7 |           32 |             44 |     56 |             -12 |
| 444  | Team 105             |   17 |     5 |     11 |           41 |             61 |     56 |             -20 |
| 445  | Team 585             |   16 |     8 |      9 |           40 |             69 |     56 |             -29 |
| 446  | Team 776             |   17 |     5 |     11 |           37 |             73 |     56 |             -36 |
| 447  | Team 458             |   14 |    13 |      6 |           56 |             23 |     55 |              33 |
| 448  | Team 113             |   17 |     4 |     12 |           45 |             20 |     55 |              25 |
| 449  | Team 125             |   17 |     4 |     12 |           45 |             22 |     55 |              23 |
| 450  | Team 985             |   16 |     7 |     10 |           74 |             52 |     55 |              22 |
| 451  | Team 378             |   16 |     7 |     10 |           60 |             38 |     55 |              22 |
| 452  | Team 624             |   14 |    13 |      6 |           61 |             40 |     55 |              21 |
| 453  | Team 348             |   15 |    10 |      8 |           64 |             44 |     55 |              20 |
| 454  | Team 57              |   15 |    10 |      8 |           50 |             33 |     55 |              17 |
| 455  | Team 719             |   14 |    13 |      6 |           52 |             38 |     55 |              14 |
| 456  | Team 34              |   18 |     1 |     14 |           36 |             27 |     55 |               9 |
| 457  | Team 872             |   16 |     7 |     10 |           61 |             53 |     55 |               8 |
| 458  | Team 465             |   17 |     4 |     12 |           51 |             45 |     55 |               6 |
| 459  | Team 259             |   13 |    16 |      4 |           35 |             30 |     55 |               5 |
| 460  | Team 457             |   14 |    13 |      6 |           53 |             49 |     55 |               4 |
| 461  | Team 1               |   15 |    10 |      8 |           46 |             43 |     55 |               3 |
| 462  | Team 921             |   18 |     1 |     14 |           51 |             53 |     55 |              -2 |
| 463  | Team 339             |   16 |     7 |     10 |           34 |             36 |     55 |              -2 |
| 464  | Team 35              |   15 |    10 |      8 |           47 |             50 |     55 |              -3 |
| 465  | Team 474             |   20 |    -5 |     18 |           37 |             44 |     55 |              -7 |
| 466  | Team 140             |   16 |     7 |     10 |           38 |             46 |     55 |              -8 |
| 467  | Team 338             |   16 |     7 |     10 |           69 |             78 |     55 |              -9 |
| 468  | Team 207             |   13 |    16 |      4 |           36 |             45 |     55 |              -9 |
| 469  | Team 426             |   18 |     1 |     14 |           32 |             45 |     55 |             -13 |
| 470  | Team 368             |   17 |     4 |     12 |           39 |             53 |     55 |             -14 |
| 471  | Team 74              |   15 |    10 |      8 |           34 |             48 |     55 |             -14 |
| 472  | Team 795             |   16 |     7 |     10 |           35 |             51 |     55 |             -16 |
| 473  | Team 628             |   16 |     7 |     10 |           42 |             59 |     55 |             -17 |
| 474  | Team 505             |   16 |     7 |     10 |           38 |             56 |     55 |             -18 |
| 475  | Team 716             |   17 |     4 |     12 |           52 |             76 |     55 |             -24 |
| 476  | Team 128             |   16 |     7 |     10 |           30 |             57 |     55 |             -27 |
| 477  | Team 919             |   15 |    10 |      8 |           34 |             78 |     55 |             -44 |
| 478  | Team 514             |   15 |    10 |      8 |           35 |             85 |     55 |             -50 |
| 479  | Team 405             |   16 |     6 |     11 |           70 |             32 |     54 |              38 |
| 480  | Team 152             |   18 |     0 |     15 |           55 |             22 |     54 |              33 |
| 481  | Team 563             |   17 |     3 |     13 |           77 |             48 |     54 |              29 |
| 482  | Team 289             |   18 |     0 |     15 |           57 |             33 |     54 |              24 |
| 483  | Team 930             |   14 |    12 |      7 |           44 |             20 |     54 |              24 |
| 484  | Team 237             |   16 |     6 |     11 |           85 |             62 |     54 |              23 |
| 485  | Team 67              |   13 |    15 |      5 |           54 |             33 |     54 |              21 |
| 486  | Team 918             |   18 |     0 |     15 |           64 |             45 |     54 |              19 |
| 487  | Team 268             |   15 |     9 |      9 |           52 |             33 |     54 |              19 |
| 488  | Team 596             |   17 |     3 |     13 |           47 |             30 |     54 |              17 |
| 489  | Team 30              |   13 |    15 |      5 |           45 |             28 |     54 |              17 |
| 490  | Team 900             |   16 |     6 |     11 |           65 |             50 |     54 |              15 |
| 491  | Team 396             |   14 |    12 |      7 |           47 |             32 |     54 |              15 |
| 492  | Team 83              |   13 |    15 |      5 |           49 |             37 |     54 |              12 |
| 493  | Team 472             |   15 |     9 |      9 |           44 |             34 |     54 |              10 |
| 494  | Team 509             |   16 |     6 |     11 |           50 |             45 |     54 |               5 |
| 495  | Team 708             |   16 |     6 |     11 |           36 |             37 |     54 |              -1 |
| 496  | Team 534             |   19 |    -3 |     17 |           36 |             39 |     54 |              -3 |
| 497  | Team 911             |   14 |    12 |      7 |           43 |             47 |     54 |              -4 |
| 498  | Team 610             |   15 |     9 |      9 |           40 |             45 |     54 |              -5 |
| 499  | Team 728             |   19 |    -3 |     17 |           31 |             40 |     54 |              -9 |
| 500  | Team 562             |   17 |     3 |     13 |           35 |             48 |     54 |             -13 |
| 501  | Team 740             |   17 |     3 |     13 |           57 |             71 |     54 |             -14 |
| 502  | Team 570             |   18 |     0 |     15 |           34 |             49 |     54 |             -15 |
| 503  | Team 479             |   16 |     6 |     11 |           30 |             45 |     54 |             -15 |
| 504  | Team 523             |   18 |     0 |     15 |           38 |             54 |     54 |             -16 |
| 505  | Team 159             |   13 |    15 |      5 |           42 |             63 |     54 |             -21 |
| 506  | Team 484             |   16 |     6 |     11 |           40 |             62 |     54 |             -22 |
| 507  | Team 168             |   14 |    12 |      7 |           37 |             61 |     54 |             -24 |
| 508  | Team 838             |   14 |    12 |      7 |           31 |             70 |     54 |             -39 |
| 509  | Team 350             |   16 |     5 |     12 |           61 |             27 |     53 |              34 |
| 510  | Team 997             |   16 |     5 |     12 |           66 |             36 |     53 |              30 |
| 511  | Team 928             |   14 |    11 |      8 |           59 |             31 |     53 |              28 |
| 512  | Team 759             |   15 |     8 |     10 |           55 |             27 |     53 |              28 |
| 513  | Team 598             |   15 |     8 |     10 |           55 |             31 |     53 |              24 |
| 514  | Team 709             |   14 |    11 |      8 |           47 |             23 |     53 |              24 |
| 515  | Team 573             |   15 |     8 |     10 |           53 |             30 |     53 |              23 |
| 516  | Team 746             |   12 |    17 |      4 |           59 |             38 |     53 |              21 |
| 517  | Team 831             |   15 |     8 |     10 |           44 |             28 |     53 |              16 |
| 518  | Team 246             |   13 |    14 |      6 |           54 |             40 |     53 |              14 |
| 519  | Team 176             |   18 |    -1 |     16 |           68 |             56 |     53 |              12 |
| 520  | Team 43              |   14 |    11 |      8 |           57 |             46 |     53 |              11 |
| 521  | Team 568             |   16 |     5 |     12 |           47 |             36 |     53 |              11 |
| 522  | Team 319             |   17 |     2 |     14 |           55 |             45 |     53 |              10 |
| 523  | Team 258             |   14 |    11 |      8 |           31 |             25 |     53 |               6 |
| 524  | Team 183             |   13 |    14 |      6 |           48 |             44 |     53 |               4 |
| 525  | Team 452             |   15 |     8 |     10 |           31 |             27 |     53 |               4 |
| 526  | Team 856             |   16 |     5 |     12 |           43 |             41 |     53 |               2 |
| 527  | Team 172             |   15 |     8 |     10 |           40 |             39 |     53 |               1 |
| 528  | Team 567             |   13 |    14 |      6 |           41 |             41 |     53 |               0 |
| 529  | Team 663             |   17 |     2 |     14 |           40 |             43 |     53 |              -3 |
| 530  | Team 984             |   15 |     8 |     10 |           37 |             43 |     53 |              -6 |
| 531  | Team 240             |   13 |    14 |      6 |           33 |             39 |     53 |              -6 |
| 532  | Team 498             |   16 |     5 |     12 |           53 |             63 |     53 |             -10 |
| 533  | Team 959             |   15 |     8 |     10 |           36 |             46 |     53 |             -10 |
| 534  | Team 944             |   16 |     5 |     12 |           41 |             55 |     53 |             -14 |
| 535  | Team 614             |   15 |     8 |     10 |           37 |             54 |     53 |             -17 |
| 536  | Team 341             |   16 |     5 |     12 |           45 |             65 |     53 |             -20 |
| 537  | Team 59              |   15 |     8 |     10 |           32 |             55 |     53 |             -23 |
| 538  | Team 441             |   16 |     5 |     12 |           37 |             61 |     53 |             -24 |
| 539  | Team 867             |   17 |     2 |     14 |           33 |             74 |     53 |             -41 |
| 540  | Team 540             |   16 |     5 |     12 |           35 |             80 |     53 |             -45 |
| 541  | Team 451             |   14 |    10 |      9 |           64 |             23 |     52 |              41 |
| 542  | Team 203             |   15 |     7 |     11 |           54 |             23 |     52 |              31 |
| 543  | Team 705             |   15 |     7 |     11 |           70 |             40 |     52 |              30 |
| 544  | Team 833             |   14 |    10 |      9 |           54 |             26 |     52 |              28 |
| 545  | Team 978             |   15 |     7 |     11 |           49 |             23 |     52 |              26 |
| 546  | Team 811             |   17 |     1 |     15 |           67 |             44 |     52 |              23 |
| 547  | Team 999             |   15 |     7 |     11 |           56 |             34 |     52 |              22 |
| 548  | Team 669             |   16 |     4 |     13 |           46 |             27 |     52 |              19 |
| 549  | Team 518             |   15 |     7 |     11 |           70 |             52 |     52 |              18 |
| 550  | Team 703             |   12 |    16 |      5 |           53 |             35 |     52 |              18 |
| 551  | Team 277             |   16 |     4 |     13 |           55 |             40 |     52 |              15 |
| 552  | Team 104             |   16 |     4 |     13 |           40 |             27 |     52 |              13 |
| 553  | Team 647             |   15 |     7 |     11 |           64 |             52 |     52 |              12 |
| 554  | Team 226             |   14 |    10 |      9 |           41 |             29 |     52 |              12 |
| 555  | Team 196             |   17 |     1 |     15 |           35 |             25 |     52 |              10 |
| 556  | Team 6               |   17 |     1 |     15 |           32 |             23 |     52 |               9 |
| 557  | Team 54              |   17 |     1 |     15 |           32 |             24 |     52 |               8 |
| 558  | Team 349             |   16 |     4 |     13 |           38 |             34 |     52 |               4 |
| 559  | Team 829             |   14 |    10 |      9 |           58 |             55 |     52 |               3 |
| 560  | Team 698             |   16 |     4 |     13 |           51 |             49 |     52 |               2 |
| 561  | Team 732             |   17 |     1 |     15 |           33 |             32 |     52 |               1 |
| 562  | Team 70              |   18 |    -2 |     17 |           46 |             47 |     52 |              -1 |
| 563  | Team 871             |   15 |     7 |     11 |           58 |             61 |     52 |              -3 |
| 564  | Team 604             |   16 |     4 |     13 |           37 |             40 |     52 |              -3 |
| 565  | Team 680             |   15 |     7 |     11 |           33 |             36 |     52 |              -3 |
| 566  | Team 355             |   16 |     4 |     13 |           39 |             44 |     52 |              -5 |
| 567  | Team 884             |   16 |     4 |     13 |           36 |             43 |     52 |              -7 |
| 568  | Team 863             |   17 |     1 |     15 |           40 |             49 |     52 |              -9 |
| 569  | Team 995             |   15 |     7 |     11 |           35 |             57 |     52 |             -22 |
| 570  | Team 702             |   16 |     3 |     14 |           78 |             38 |     51 |              40 |
| 571  | Team 112             |   14 |     9 |     10 |           65 |             31 |     51 |              34 |
| 572  | Team 413             |   14 |     9 |     10 |           61 |             30 |     51 |              31 |
| 573  | Team 399             |   16 |     3 |     14 |           87 |             59 |     51 |              28 |
| 574  | Team 445             |   13 |    12 |      8 |           64 |             39 |     51 |              25 |
| 575  | Team 903             |   17 |     0 |     16 |           51 |             28 |     51 |              23 |
| 576  | Team 337             |   14 |     9 |     10 |           62 |             42 |     51 |              20 |
| 577  | Team 233             |   15 |     6 |     12 |           52 |             33 |     51 |              19 |
| 578  | Team 170             |   14 |     9 |     10 |           57 |             42 |     51 |              15 |
| 579  | Team 335             |   15 |     6 |     12 |           62 |             48 |     51 |              14 |
| 580  | Team 496             |   17 |     0 |     16 |           44 |             32 |     51 |              12 |
| 581  | Team 682             |   14 |     9 |     10 |           39 |             27 |     51 |              12 |
| 582  | Team 605             |   17 |     0 |     16 |           43 |             33 |     51 |              10 |
| 583  | Team 274             |   16 |     3 |     14 |           41 |             32 |     51 |               9 |
| 584  | Team 486             |   17 |     0 |     16 |           46 |             38 |     51 |               8 |
| 585  | Team 821             |   13 |    12 |      8 |           45 |             38 |     51 |               7 |
| 586  | Team 783             |   12 |    15 |      6 |           37 |             31 |     51 |               6 |
| 587  | Team 712             |   12 |    15 |      6 |           39 |             34 |     51 |               5 |
| 588  | Team 155             |   13 |    12 |      8 |           32 |             27 |     51 |               5 |
| 589  | Team 11              |   17 |     0 |     16 |           43 |             39 |     51 |               4 |
| 590  | Team 761             |   17 |     0 |     16 |           35 |             31 |     51 |               4 |
| 591  | Team 547             |   17 |     0 |     16 |           49 |             48 |     51 |               1 |
| 592  | Team 252             |   17 |     0 |     16 |           60 |             60 |     51 |               0 |
| 593  | Team 264             |   17 |     0 |     16 |           44 |             44 |     51 |               0 |
| 594  | Team 419             |   17 |     0 |     16 |           32 |             32 |     51 |               0 |
| 595  | Team 922             |   15 |     6 |     12 |           51 |             52 |     51 |              -1 |
| 596  | Team 961             |   16 |     3 |     14 |           34 |             37 |     51 |              -3 |
| 597  | Team 300             |   15 |     6 |     12 |           31 |             34 |     51 |              -3 |
| 598  | Team 718             |   14 |     9 |     10 |           35 |             39 |     51 |              -4 |
| 599  | Team 720             |   12 |    15 |      6 |           35 |             40 |     51 |              -5 |
| 600  | Team 276             |   18 |    -3 |     18 |           42 |             52 |     51 |             -10 |
| 601  | Team 661             |   15 |     6 |     12 |           51 |             63 |     51 |             -12 |
| 602  | Team 153             |   17 |     0 |     16 |           44 |             56 |     51 |             -12 |
| 603  | Team 156             |   16 |     3 |     14 |           35 |             51 |     51 |             -16 |
| 604  | Team 436             |   17 |     0 |     16 |           34 |             54 |     51 |             -20 |
| 605  | Team 466             |   14 |     9 |     10 |           33 |             56 |     51 |             -23 |
| 606  | Team 433             |   16 |     3 |     14 |           45 |             72 |     51 |             -27 |
| 607  | Team 39              |   15 |     5 |     13 |           58 |             24 |     50 |              34 |
| 608  | Team 908             |   15 |     5 |     13 |           61 |             31 |     50 |              30 |
| 609  | Team 824             |   12 |    14 |      7 |           67 |             39 |     50 |              28 |
| 610  | Team 430             |   15 |     5 |     13 |           64 |             39 |     50 |              25 |
| 611  | Team 204             |   14 |     8 |     11 |           62 |             37 |     50 |              25 |
| 612  | Team 456             |   15 |     5 |     13 |           47 |             23 |     50 |              24 |
| 613  | Team 281             |   14 |     8 |     11 |           51 |             30 |     50 |              21 |
| 614  | Team 622             |   13 |    11 |      9 |           47 |             26 |     50 |              21 |
| 615  | Team 385             |   14 |     8 |     11 |           46 |             25 |     50 |              21 |
| 616  | Team 671             |   17 |    -1 |     17 |           45 |             25 |     50 |              20 |
| 617  | Team 789             |   16 |     2 |     15 |           44 |             24 |     50 |              20 |
| 618  | Team 84              |   15 |     5 |     13 |           55 |             37 |     50 |              18 |
| 619  | Team 744             |   14 |     8 |     11 |           59 |             45 |     50 |              14 |
| 620  | Team 114             |   12 |    14 |      7 |           40 |             26 |     50 |              14 |
| 621  | Team 401             |   13 |    11 |      9 |           34 |             20 |     50 |              14 |
| 622  | Team 543             |   15 |     5 |     13 |           43 |             33 |     50 |              10 |
| 623  | Team 982             |   14 |     8 |     11 |           47 |             38 |     50 |               9 |
| 624  | Team 271             |   16 |     2 |     15 |           42 |             33 |     50 |               9 |
| 625  | Team 814             |   14 |     8 |     11 |           52 |             44 |     50 |               8 |
| 626  | Team 145             |   15 |     5 |     13 |           52 |             44 |     50 |               8 |
| 627  | Team 942             |   16 |     2 |     15 |           33 |             33 |     50 |               0 |
| 628  | Team 488             |   16 |     2 |     15 |           43 |             44 |     50 |              -1 |
| 629  | Team 816             |   13 |    11 |      9 |           34 |             38 |     50 |              -4 |
| 630  | Team 461             |   15 |     5 |     13 |           34 |             40 |     50 |              -6 |
| 631  | Team 510             |   16 |     2 |     15 |           34 |             43 |     50 |              -9 |
| 632  | Team 890             |   15 |     5 |     13 |           47 |             59 |     50 |             -12 |
| 633  | Team 283             |   14 |     8 |     11 |           36 |             52 |     50 |             -16 |
| 634  | Team 949             |   17 |    -1 |     17 |           52 |             71 |     50 |             -19 |
| 635  | Team 305             |   12 |    14 |      7 |           57 |             79 |     50 |             -22 |
| 636  | Team 535             |   16 |     2 |     15 |           41 |             66 |     50 |             -25 |
| 637  | Team 304             |   15 |     5 |     13 |           33 |             59 |     50 |             -26 |
| 638  | Team 646             |   15 |     4 |     14 |           67 |             32 |     49 |              35 |
| 639  | Team 330             |   14 |     7 |     12 |           55 |             23 |     49 |              32 |
| 640  | Team 4               |   13 |    10 |     10 |           64 |             33 |     49 |              31 |
| 641  | Team 618             |   16 |     1 |     16 |           62 |             32 |     49 |              30 |
| 642  | Team 575             |   14 |     7 |     12 |           42 |             25 |     49 |              17 |
| 643  | Team 27              |   16 |     1 |     16 |           52 |             36 |     49 |              16 |
| 644  | Team 639             |   15 |     4 |     14 |           59 |             44 |     49 |              15 |
| 645  | Team 989             |   16 |     1 |     16 |           38 |             23 |     49 |              15 |
| 646  | Team 665             |   15 |     4 |     14 |           41 |             31 |     49 |              10 |
| 647  | Team 435             |   15 |     4 |     14 |           50 |             41 |     49 |               9 |
| 648  | Team 713             |   12 |    13 |      8 |           34 |             25 |     49 |               9 |
| 649  | Team 421             |   15 |     4 |     14 |           35 |             27 |     49 |               8 |
| 650  | Team 345             |   14 |     7 |     12 |           43 |             39 |     49 |               4 |
| 651  | Team 662             |   13 |    10 |     10 |           35 |             33 |     49 |               2 |
| 652  | Team 52              |   13 |    10 |     10 |           56 |             56 |     49 |               0 |
| 653  | Team 293             |   16 |     1 |     16 |           40 |             40 |     49 |               0 |
| 654  | Team 675             |   16 |     1 |     16 |           37 |             37 |     49 |               0 |
| 655  | Team 336             |   14 |     7 |     12 |           35 |             36 |     49 |              -1 |
| 656  | Team 847             |   13 |    10 |     10 |           31 |             34 |     49 |              -3 |
| 657  | Team 404             |   12 |    13 |      8 |           35 |             40 |     49 |              -5 |
| 658  | Team 171             |   13 |    10 |     10 |           38 |             45 |     49 |              -7 |
| 659  | Team 314             |   15 |     4 |     14 |           39 |             48 |     49 |              -9 |
| 660  | Team 503             |   16 |     1 |     16 |           31 |             42 |     49 |             -11 |
| 661  | Team 147             |   14 |     7 |     12 |           33 |             46 |     49 |             -13 |
| 662  | Team 424             |   11 |    16 |      6 |           40 |             55 |     49 |             -15 |
| 663  | Team 220             |   12 |    13 |      8 |           31 |             47 |     49 |             -16 |
| 664  | Team 383             |   15 |     4 |     14 |           47 |             64 |     49 |             -17 |
| 665  | Team 469             |   17 |    -2 |     18 |           31 |             48 |     49 |             -17 |
| 666  | Team 64              |   13 |    10 |     10 |           39 |             57 |     49 |             -18 |
| 667  | Team 219             |   13 |    10 |     10 |           35 |             53 |     49 |             -18 |
| 668  | Team 588             |   17 |    -2 |     18 |           33 |             52 |     49 |             -19 |
| 669  | Team 571             |   14 |     7 |     12 |           38 |             60 |     49 |             -22 |
| 670  | Team 788             |   15 |     4 |     14 |           31 |             53 |     49 |             -22 |
| 671  | Team 576             |   12 |    13 |      8 |           44 |             70 |     49 |             -26 |
| 672  | Team 442             |   18 |    -5 |     20 |           35 |             67 |     49 |             -32 |
| 673  | Team 388             |   15 |     3 |     15 |           65 |             33 |     48 |              32 |
| 674  | Team 179             |   15 |     3 |     15 |           60 |             28 |     48 |              32 |
| 675  | Team 780             |   14 |     6 |     13 |           66 |             36 |     48 |              30 |
| 676  | Team 861             |   16 |     0 |     17 |           52 |             24 |     48 |              28 |
| 677  | Team 508             |   14 |     6 |     13 |           57 |             38 |     48 |              19 |
| 678  | Team 986             |   12 |    12 |      9 |           46 |             31 |     48 |              15 |
| 679  | Team 213             |   15 |     3 |     15 |           52 |             40 |     48 |              12 |
| 680  | Team 205             |   12 |    12 |      9 |           53 |             43 |     48 |              10 |
| 681  | Team 194             |   15 |     3 |     15 |           44 |             40 |     48 |               4 |
| 682  | Team 269             |   12 |    12 |      9 |           37 |             34 |     48 |               3 |
| 683  | Team 522             |   15 |     3 |     15 |           58 |             57 |     48 |               1 |
| 684  | Team 878             |   16 |     0 |     17 |           57 |             57 |     48 |               0 |
| 685  | Team 497             |   12 |    12 |      9 |           42 |             42 |     48 |               0 |
| 686  | Team 449             |   12 |    12 |      9 |           67 |             70 |     48 |              -3 |
| 687  | Team 668             |   14 |     6 |     13 |           57 |             61 |     48 |              -4 |
